%
% sediment depth(m)  age(x1000 years) [kyr]
%
   0.574964   -3.38736       
   1.19008   2.60743       
   1.77924   0.00766392       
   2.2668   19.7774       
   3.22898   19.4609       
   4.01753   47.8642       
   5.42616   15.6633       
   5.46176   28.687       
   6.57911   48.1307       
   7.13311   40.9772       
   8.18145   58.7645       
   8.68881   40.7163       
   9.48083   59.1441       
   9.56389   75.2518       
   9.96609   59.7266       
   10.737   70.8044       
   11.2492   44.6816       
   11.911   74.7372       
   11.9249   63.4373       
   11.9434   74.1033       
   12.3324   67.0874       
   12.5247   73.2141       
   13.4001   76.6902       
   15.091   68.9612       
   15.8225   70.5829       
   16.299   88.108       
   16.5895   77.9969       
   17.965   110.094       
   18.1798   119.462       
   19.1224   120.673       
