%
% Monthly runoffs [cm] at Cave Creek, Kentucky, for 18 years from October 1952 to September 1970.
%
%  decimal date    runoffs [cm]
%
   1952.833        5.08 
   1952.917       12.70 
   1953.000       48.26 
   1953.083      609.60 
   1953.167      218.44 
   1953.250     1056.64 
   1953.333      373.38 
   1953.417      899.16 
   1953.500       78.74 
   1953.583       45.72 
   1953.667       17.78 
   1953.750        2.54 
   1953.833        0.00 
   1953.917        5.08 
   1954.000       10.16 
   1954.083      137.16 
   1954.167       55.88 
   1954.250      101.60 
   1954.333      353.06 
   1954.417       88.90 
   1954.500       20.32 
   1954.583       17.78 
   1954.667       15.24 
   1954.750       35.56 
   1954.833        5.08 
   1954.917       10.16 
   1955.000       76.20 
   1955.083      185.42 
   1955.167     1176.02 
   1955.250     1470.66 
   1955.333      149.86 
   1955.417      500.38 
   1955.500      139.70 
   1955.583       60.96 
   1955.667       71.12 
   1955.750        7.62 
   1955.833       10.16 
   1955.917       15.24 
   1956.000       33.02 
   1956.083      149.86 
   1956.167     1617.98 
   1956.250     1191.26 
   1956.333      487.68 
   1956.417       71.12 
   1956.500       81.28 
   1956.583      162.56 
   1956.667       96.52 
   1956.750       20.32 
   1956.833       17.78 
   1956.917       25.40 
   1957.000      436.88 
   1957.083      782.32 
   1957.167      825.50 
   1957.250      261.62 
   1957.333      995.68 
   1957.417      172.72 
   1957.500       60.96 
   1957.583       15.24 
   1957.667       12.70 
   1957.750        5.08 
   1957.833        7.62 
   1957.917      269.24 
   1958.000     1097.28 
   1958.083      508.00 
   1958.167      561.34 
   1958.250      297.18 
   1958.333      596.90 
   1958.417      599.44 
   1958.500       48.26 
   1958.583      937.26 
   1958.667      431.80 
   1958.750       30.48 
   1958.833       15.24 
   1958.917       22.86 
   1959.000       43.18 
   1959.083      685.80 
   1959.167      495.30 
   1959.250      284.48 
   1959.333      259.08 
   1959.417       60.96 
   1959.500       60.96 
   1959.583       12.70 
   1959.667       10.16 
   1959.750        5.08 
   1959.833        7.62 
   1959.917       91.44 
   1960.000      683.26 
   1960.083      556.26 
   1960.167      795.02 
   1960.250      739.14 
   1960.333      172.72 
   1960.417       48.26 
   1960.500      924.56 
   1960.583      350.52 
   1960.667       35.56 
   1960.750       76.20 
   1960.833       30.48 
   1960.917      132.08 
   1961.000      200.66 
   1961.083      518.16 
   1961.167      749.30 
   1961.250     1351.28 
   1961.333     1209.04 
   1961.417     1051.56 
   1961.500      403.86 
   1961.583      121.92 
   1961.667       45.72 
   1961.750       10.16 
   1961.833        5.08 
   1961.917       15.24 
   1962.000      193.04 
   1962.083      878.84 
   1962.167     1018.54 
   1962.250     1290.32 
   1962.333      838.20 
   1962.417      200.66 
   1962.500      243.84 
   1962.583       76.20 
   1962.667       20.32 
   1962.750       17.78 
   1962.833       99.06 
   1962.917      358.14 
   1963.000      314.96 
   1963.083      381.00 
   1963.167      370.84 
   1963.250     1391.92 
   1963.333      132.08 
   1963.417       63.50 
   1963.500       35.56 
   1963.583       73.66 
   1963.667       27.94 
   1963.750        7.62 
   1963.833        2.54 
   1963.917       10.16 
   1964.000        7.62 
   1964.083      220.98 
   1964.167      439.42 
   1964.250     2001.52 
   1964.333      114.30 
   1964.417       53.34 
   1964.500       27.94 
   1964.583       20.32 
   1964.667        5.08 
   1964.750       40.64 
   1964.833       38.10 
   1964.917       17.78 
   1965.000      881.38 
   1965.083      701.04 
   1965.167      584.20 
   1965.250     1140.46 
   1965.333      370.84 
   1965.417       78.74 
   1965.500       20.32 
   1965.583       12.70 
   1965.667        2.54 
   1965.750        5.08 
   1965.833       10.16 
   1965.917        5.08 
   1966.000        5.08 
   1966.083      121.92 
   1966.167      713.74 
   1966.250      200.66 
   1966.333      513.08 
   1966.417      843.28 
   1966.500       63.50 
   1966.583       35.56 
   1966.667      104.14 
   1966.750       27.94 
   1966.833       17.78 
   1966.917      302.26 
   1967.000      906.78 
   1967.083      246.38 
   1967.167      408.94 
   1967.250     1183.64 
   1967.333      127.00 
   1967.417     1209.04 
   1967.500       83.82 
   1967.583       35.56 
   1967.667       38.10 
   1967.750       17.78 
   1967.833       22.86 
   1967.917       96.52 
   1968.000      688.34 
   1968.083      342.90 
   1968.167      248.92 
   1968.250     1079.50 
   1968.333      604.52 
   1968.417      505.46 
   1968.500      231.14 
   1968.583       73.66 
   1968.667      190.50 
   1968.750       40.64 
   1968.833       35.56 
   1968.917       55.88 
   1969.000      284.48 
   1969.083      706.12 
   1969.167      548.64 
   1969.250      185.42 
   1969.333      601.98 
   1969.417      187.96 
   1969.500      101.60 
   1969.583       68.58 
   1969.667      167.64 
   1969.750       43.18 
   1969.833       17.78 
   1969.917       63.50 
   1970.000      231.14 
   1970.083      330.20 
   1970.167      988.06 
   1970.250      739.14 
   1970.333     1442.72 
   1970.417      523.24 
   1970.500       96.52 
   1970.583       35.56 
   1970.667       15.24 
   1970.750       68.58 
