%
% age [1000 yrs]   
%
%   yrs(x1000)  variation (%)
%
       0.000     -0.71130
       2.286     0.56699
       6.264     4.31909
       9.025     3.25529
      11.290     2.89343
      15.780     1.82797
      16.876     2.75513
      19.728     3.12215
      23.417     0.88725
      27.255     -0.37966
      28.218     -0.93836
      31.750     0.04696
      34.470     -1.21494
      40.641     0.41774
      43.092     -0.64921
      43.248     0.10707
      49.094     -0.44963
      49.735     -0.22682
      52.428     -1.83416
      57.434     -2.57512
      58.330     -4.41744
      63.412     -3.70550
      65.196     -4.58291
      66.503     -3.41218
      68.935     -4.68724
      72.550     -5.84671
      77.901     -6.32959
      78.825     -2.96175
      84.029     -3.17243
      85.645     -0.41033
      87.477     -0.04249
      90.869     -1.65783
      93.772     -1.06622
      96.861     -0.92455
     100.869     -1.28210
     101.165     1.17874
     104.594     -2.33453
     109.536     -2.44154
     110.221     -3.62134
     114.597     -2.52565
     117.420     0.05772
     120.866     -0.21040
     123.380     -0.53939
     125.668     0.66078
     130.316     -0.52317
     131.616     0.08266
     135.661     0.58212
     138.349     -2.21596
     142.627     -1.85051
     144.356     -1.38240
     148.335     -5.39845
     150.066     -4.18219
     154.876     -5.34654
     156.380     -4.88003
     159.556     -4.87313
     163.546     -2.99720
     164.901     -3.44985
     168.246     -1.42412
     171.074     -5.46197
     173.218     -5.20378
     174.745     -3.76038
     179.216     -5.84563
     182.902     -3.92875
     186.057     -3.82157
     188.670     -5.78271
     191.477     -5.83066
     196.233     -4.79785
     198.175     -3.30273
     202.835     -3.63450
     205.362     -0.88462
     206.944     -1.47671
     207.654     -1.78679
     211.632     -2.03537
     215.962     -2.02630
     219.795     -2.58007
     220.558     -0.10818
     223.733     -3.27112
     228.798     -2.61072
     230.418     -4.10090
     232.279     -5.16834
     234.024     -4.65551
     239.495     -3.51509
     241.772     -3.35794
     245.071     -2.06125
     248.348     -4.17681
     251.407     -4.47364
     254.533     -4.48621
     256.890     -5.73184
     258.684     -3.04096
     263.238     -4.35813
     264.244     -6.59775
     269.032     -6.89164
     270.209     -6.53348
     275.775     -6.91979
     278.828     -8.32017
     279.742     -6.65379
     281.914     -3.66402
     288.904     -4.48023
     290.095     -4.30299
     290.323     -4.76581
     295.522     -3.75530
     298.132     -4.64138
     299.677     -4.19641
     302.869     -3.04887
     306.997     -4.35709
     308.843     -4.15569
     312.843     -5.76782
     315.559     -2.77309
     317.129     -3.76706
     321.507     -3.73767
     323.154     -2.58326
     326.148     -1.08105
     332.153     -5.08074
     333.280     -4.47716
     335.583     -5.92241
     340.767     -3.20937
     343.409     -4.34685
     345.031     -3.46838
     347.738     -6.92159
     350.022     -5.60643
     354.657     -6.14997
     356.213     -7.50382
     359.722     -7.78173
     364.442     -6.75019
     367.288     -6.69827
     367.822     -6.15485
     370.695     -6.66658
     375.564     -6.32896
     378.404     -7.67485
     381.218     -7.44377
     384.052     -7.72484
     385.441     -6.70750
     389.408     -6.45370
     391.944     -6.76300
     394.181     -6.94408
     398.183     -5.06089
     400.579     -6.35821
     402.104     -4.69789
     406.378     -3.54433
     410.302     -5.12340
     412.090     -5.18410
     415.086     -6.05053
     417.263     -3.19680
     422.414     -3.17142
     426.173     -4.78647
     427.656     -4.13711
     428.859     -4.51267
     433.090     -4.23191
     436.389     -7.58836
     439.894     -4.84603
     442.859     -6.37409
     447.195     -5.48126
     449.594     -6.97700
     452.177     -7.05172
     452.761     -6.60123
     458.486     -9.91884
     459.455     -6.72907
     461.740     -5.86122
     468.502     -10.55923
     468.852     -9.48524
     470.763     -7.44970
     475.287     -7.37119
     476.572     -7.82569
     481.612     -7.99361
     483.373     -5.45330
     485.508     -5.77610
     489.813     -7.94738
     493.246     -9.40672
     494.228     -7.96008
     499.486     -7.36783
     500.396     -5.54010
     503.317     -4.19732
     505.844     -5.84526
     509.921     -8.04790
     514.176     -5.98108
     516.740     -4.97796
     517.792     -5.60833
     520.936     -6.84045
     524.381     -3.14804
     527.015     -3.36364
     531.543     -5.57561
     533.940     -6.26257
     537.990     -6.04726
     539.861     -6.22968
     541.009     -5.43429
     546.545     -6.76502
     547.257     -6.45479
     551.747     -9.82864
     555.935     -8.64405
     557.120     -11.25008
     561.807     -7.29585
     563.038     -7.76011
     565.835     -10.44424
     570.459     -7.11926
     570.736     -8.81866
     577.867     -8.88156
     579.388     -11.63939
     581.999     -9.27790
     583.283     -8.46847
     586.586     -9.36708
     588.527     -6.53639
     594.454     -7.40275
     595.324     -9.15337
     597.900     -6.14826
     601.161     -7.09605
     603.290     -6.84238
     608.267     -6.31084
     610.328     -4.68967
     612.478     -6.92094
     616.655     -4.26144
     619.243     -5.42520
     620.768     -6.07841
     625.950     -6.04998
     628.982     -6.18825
     632.317     -7.47862
     635.848     -7.89908
     637.982     -6.38356
     640.176     -6.35999
     644.555     -7.79642
     646.681     -5.38153
     646.957     -6.13305
     652.164     -7.85031
     653.491     -8.63409
     659.335     -8.07064
     660.796     -10.85065
     664.886     -10.65391
     666.000     -10.56318
     669.047     -11.24236
     673.879     -10.23793
     676.271     -8.86758
     678.712     -11.25132
     680.303     -10.08888
     685.053     -6.48208
     687.164     -8.95357
     689.287     -8.24322
     692.717     -7.62178
     696.289     -7.53523
     699.237     -8.18225
     702.400     -8.25088
     705.369     -6.61191
     710.660     -4.80120
     711.688     -7.29542
     713.361     -8.97503
     716.511     -3.83305
     718.912     -5.01730
     722.283     -4.21758
     726.734     -4.95344
     729.389     -6.85910
     733.971     -5.83932
     734.023     -7.95042
     738.595     -7.25724
     740.029     -9.87601
     744.959     -9.05007
     747.316     -8.85850
     747.699     -9.63382
     749.732     -9.13420
     755.271     -11.45702
     757.004     -9.23769
     760.179     -7.48790
     763.432     -8.83222
     765.185     -9.71242
     772.225     -9.45680
     772.422     -11.15241
     774.479     -9.69246
     778.628     -11.57053
     780.446     -11.28290
     786.570     -9.47874
     787.143     -11.45592
     791.971     -10.61747
