% 
% age [1000 yrs]   Oxygen isotope measured from foraminifera. (site 1)
%
%   yrs(x1000)      Oxygen isotope
%
      0.00000       0.01954 
      3.57684       1.62787 
      5.97508       3.35683 
      9.20161       2.01676 
     11.10349       2.07140 
     16.44614       0.93406 
     17.75906       2.45808 
     22.44707       1.65533 
     23.86407       1.37307 
     27.42167       0.72089 
     28.05383       1.71868 
     31.74883       0.72368 
     36.64598      -0.48369 
     37.71102       1.55156 
     41.87735       1.25443 
     43.88997       1.39981 
     47.06442       1.36338 
     48.80066       1.50961 
     51.82955       0.06562 
     57.03457      -0.61563 
     58.95512      -0.64495 
     61.15105      -1.05647 
     64.13483      -1.36984 
     68.71174      -2.38937 
     70.74377      -2.72755 
     74.26348      -4.15377 
     77.09668      -2.99443 
     80.40622      -1.87159 
     83.00049      -0.22932 
     84.20862      -1.40345 
     88.87504      -0.15989 
     92.57516      -0.57723 
     94.97255      -0.08748 
     95.12864      -0.27782 
    100.02622       0.41043 
    102.92706      -0.03488 
    106.51799       0.05147 
    108.63883      -0.23125 
    112.09796       0.64408 
    116.65651       0.76731 
    118.84765       1.08369 
    121.21810       3.29873 
    122.97651       2.77157 
    126.77950       3.29382 
    129.94789       2.57530 
    132.19291       2.16006 
    135.36329       2.11540 
    139.06523       0.63705 
    142.10570       1.19986 
    143.15781       1.42590 
    146.40180      -0.30367 
    151.57265      -1.45777 
    153.98167      -2.16475 
    156.07865      -1.27537 
    159.71419      -0.91613 
    161.27219      -1.23882 
    164.17853      -0.54685 
    168.46769      -0.08082 
    172.61611      -1.62375 
    174.79943      -1.88099 
    176.49230      -2.04324 
    180.83530      -2.49923 
    182.65191      -1.97232 
    185.12375      -0.96031 
    188.35496      -2.84956 
    191.13709      -1.70901 
    194.49086      -1.32963 
    198.21215      -1.54517 
    199.53608       0.22298 
    203.90159       1.14154 
    207.63300       2.61506 
    209.59999       1.87373 
    213.10314       2.28556 
    215.29759       2.12680 
    220.31850       2.22695 
    222.17416       1.24472 
    222.38589       1.36246 
    227.18497       2.14506 
    228.29214       1.19584 
    234.07819      -0.77740 
    236.39460       0.13068 
    239.58941       1.05861 
    242.77421       1.10234 
    246.60240       2.45596 
    247.47995       1.72140 
    250.61259       0.74966 
    254.31577      -0.29960 
    257.62789      -1.62248 
    258.48465      -0.77226 
    261.99998      -1.67762 
    265.53988      -1.77604 
    265.96716      -1.50661 
    272.55865      -3.90920 
    273.32372      -3.06633 
    278.45349      -2.62740 
    279.46354      -2.40050 
    283.83481      -0.06614 
    286.97041       0.33580 
    288.92397      -0.13597 
    292.61247      -0.76039 
    294.87256      -1.00233 
    298.50417      -0.56458 
    299.80266       0.03801 
    303.11870       0.95078 
    308.20473       0.82269 
    309.12979      -0.64799 
    312.93715      -0.11887 
    314.06315       0.13427 
    318.19852       1.92430 
    320.77931       1.49405 
    324.23732       3.28094 
    328.42649       3.81793 
    331.37782       2.00223 
    334.52002       2.21367 
    336.45931       1.88179 
    339.74952       1.05368 
    341.14462       0.58540 
    344.69926       0.34597 
    349.37038       0.07576 
    351.94869      -1.46775 
    354.43871      -1.64671 
    355.70266      -1.53161 
    360.22467      -1.86488 
    363.24007      -0.43163 
    365.39486       0.48193 
    369.04231      -1.60871 
    374.19218      -2.87366 
    374.26591      -0.88711 
    375.98917      -2.31802 
    377.88048      -2.29938 
    382.74030      -1.37641 
    385.77528      -2.50961 
    388.22831      -1.44771 
    394.38293      -2.80444 
    396.26848      -1.77138 
    398.92029       0.63205 
    401.27725       1.53794 
    401.62015       0.28503 
    408.78587       1.06624 
    410.07792       1.67388 
    412.09797       2.07140 
    413.89674       2.56847 
    418.98909       3.33858 
    423.93710       2.82521 
    425.16512       1.82900 
    428.59611       0.50034 
    430.51546       0.12643 
    434.68071      -0.16468 
    435.07238       0.64501 
    440.51494       1.26084 
    443.02616       1.06390 
    445.26555       1.86069 
    448.59878       0.34837 
    452.94043       0.41107 
    454.33219       0.32897 
    458.13916      -0.33975 
    458.90085      -0.90384 
    464.33257      -2.15882 
    467.91747      -1.80826 
    468.46570      -2.74638 
    470.98933      -3.03670 
    473.98950      -4.15906 
    478.59116      -3.04679 
    480.09138      -1.47681 
    483.70303      -0.14128 
    485.34305      -0.62110 
    490.73081      -0.68065 
    491.89013      -0.13742 
    496.47413      -0.05305 
    499.31113      -0.94785 
    501.33408       0.78388 
    504.75091       0.69178 
    507.07753       0.40916 
    509.98159      -0.02107 
    514.44790      -0.50764 
    516.29143       0.14934 
    518.10195       0.68887 
    523.71672       2.56675 
    524.05158       3.40168 
    528.47272       3.62366 
    530.15559       3.65280 
    533.63837       1.72055 
    537.29781       0.63223 
    540.89979       1.06692 
    542.45920       1.10420 
    546.08630       0.54128 
    548.47864      -1.03792 
    551.66665      -2.19903 
    553.40764      -1.41755 
    557.41835      -1.55910 
    561.98752      -1.31528 
    562.61318      -0.17038 
    565.09902      -0.62080 
    570.92413      -1.34267 
    573.46604      -1.45740 
    576.03643      -2.09082 
    576.73836      -2.43588 
    582.70447      -1.21210 
    583.50246      -1.98040 
    585.83943      -1.97918 
    589.29733      -2.54272 
    593.30643      -1.81024 
    596.55264      -1.01165 
    599.06567      -0.13452 
    601.53610      -0.20502 
    606.55244       1.95075 
    607.05702       1.96745 
    610.75956       1.45566 
    612.88096       2.04448 
    616.97063       1.81681 
    617.56887       2.00369 
    623.11030       2.66273 
    624.29749       1.42294 
    628.24703       0.62982 
    630.24020       0.72069 
    633.01143       0.08994 
    635.31076       0.56500 
    639.17642       1.49218 
    643.31212       2.41115 
    646.54344       1.26612 
    650.54718       1.41910 
    652.59493       1.29738 
    652.75164       0.19174 
    656.82116      -1.41624 
    660.65842      -2.01869 
    661.22329      -1.32979 
    666.38702      -1.81285 
    669.05638      -3.17219 
    672.93232      -3.25948 
    676.10885      -2.25058 
    679.39988      -2.87802 
    681.24910      -1.58881 
    684.16627      -0.25568 
    688.79991      -0.74254 
    692.13613      -0.60048 
    692.86708      -0.69935 
    696.35508      -0.24036 
    698.18535      -0.15035 
    702.13876       1.07183 
    705.81546       0.28865 
    707.40548      -0.01031 
    711.08025      -0.16365 
    713.93501       1.17608 
    716.22533       1.72365 
    719.26022       1.52635 
    724.62996       3.02796 
    724.69615       3.15903 
    728.15255       2.77540 
    730.09560       2.37407 
    734.45455       1.45718 
    737.89673       0.96337 
    739.92289       0.77904 
    743.74457      -0.17013 
    745.62671       0.43893 
    750.56819      -1.49215 
    752.21876      -2.04929 
    755.97821      -0.55139 
    760.33048      -1.42123 
    761.53781      -0.46280 
    765.38333      -0.28085 
    767.25108      -1.21451 
    769.63953      -0.66529 
    771.97700      -0.50331 
    775.46522      -1.34477 
    779.95818      -1.87024 
    782.61250      -0.81210 
    783.66529      -2.11522 
    787.45733      -2.10399 
    789.30028      -1.30726 
    793.85660      -1.26255 
    797.46899      -1.44009 
    798.70268      -1.01540 
    799.60398       0.39251 
    806.04673       1.78205 
    811.50691       1.89913 
    811.78601       2.07376 
    814.49845       1.35099 
    817.43404       1.31105 
    821.05966       2.48926 
    825.13759       1.20314 
    827.52468       1.16355 
    828.75474       1.32111 
    831.91726       0.45459 
    835.09634       0.19226 
    836.94552       0.96563 
    841.90778       0.41530 
    843.86191       1.25054 
    848.20706       1.49352 
    849.40646       1.52905 
    853.60122       0.38106 
    854.20130      -0.69737 
    859.88158      -0.74547 
    860.27252      -1.51973 
    863.29893      -2.52775 
    867.34993      -2.70792 
    868.79525      -2.03527 
    873.66655      -3.00026 
