%
% CO2 content of air (ppm), measured every 14 days, from 1981 at Mauna Loa, Hawaii.
%
%  Decimal Date  CO2 mole fraction
%
   1981.000      339.35 
   1981.038      339.96 
   1981.077      340.59 
   1981.115      341.17 
   1981.153      341.67 
   1981.192      342.13 
   1981.230      342.61 
   1981.268      343.10 
   1981.307      343.49 
   1981.345      343.60 
   1981.384      343.34 
   1981.422      342.72 
   1981.460      341.90 
   1981.499      341.01 
   1981.537      340.18 
   1981.575      339.41 
   1981.614      338.66 
   1981.652      337.93 
   1981.690      337.32 
   1981.729      337.00 
   1981.767      337.07 
   1981.805      337.52 
   1981.844      338.21 
   1981.882      338.96 
   1981.921      339.60 
   1981.959      340.10 
   1981.997      340.51 
   1982.036      340.89 
   1982.074      341.32 
   1982.112      341.84 
   1982.151      342.39 
   1982.189      342.92 
   1982.227      343.40 
   1982.266      343.78 
   1982.304      343.99 
   1982.342      343.96 
   1982.381      343.69 
   1982.419      343.28 
   1982.458      342.85 
   1982.496      342.36 
   1982.534      341.68 
   1982.573      340.69 
   1982.611      339.45 
   1982.649      338.24 
   1982.688      337.36 
   1982.726      337.01 
   1982.764      337.17 
   1982.803      337.69 
   1982.841      338.37 
   1982.879      339.11 
   1982.918      339.84 
   1982.956      340.56 
   1982.995      341.28 
   1983.033      341.79 
   1983.071      342.07 
   1983.110      342.15 
   1983.148      342.25 
   1983.186      342.64 
   1983.225      343.43 
   1983.263      344.46 
   1983.301      345.37 
   1983.340      345.86 
   1983.378      345.87 
   1983.416      345.51 
   1983.455      344.95 
   1983.493      344.23 
   1983.532      343.34 
   1983.570      342.27 
   1983.608      341.16 
   1983.647      340.21 
   1983.685      339.60 
   1983.723      339.40 
   1983.762      339.54 
   1983.800      339.91 
   1983.838      340.40 
   1983.877      341.00 
   1983.915      341.71 
   1983.953      342.48 
   1983.992      343.26 
   1984.030      343.81 
   1984.068      344.15 
   1984.107      344.36 
   1984.145      344.61 
   1984.184      345.06 
   1984.222      345.70 
   1984.260      346.41 
   1984.299      346.99 
   1984.337      347.28 
   1984.375      347.25 
   1984.414      346.96 
   1984.452      346.46 
   1984.490      345.77 
   1984.529      344.91 
   1984.567      343.91 
   1984.605      342.85 
   1984.644      341.89 
   1984.682      341.22 
   1984.721      340.98 
   1984.759      341.19 
   1984.797      341.69 
   1984.836      342.30 
   1984.874      342.89 
   1984.912      343.39 
   1984.951      343.79 
   1984.989      344.14 
   1985.027      344.42 
   1985.066      344.78 
   1985.104      345.30 
   1985.142      345.93 
   1985.181      346.55 
   1985.219      347.07 
   1985.258      347.53 
   1985.296      347.96 
   1985.334      348.34 
   1985.373      348.53 
   1985.411      348.41 
   1985.449      347.93 
   1985.488      347.14 
   1985.526      346.12 
   1985.564      345.01 
   1985.603      343.99 
   1985.641      343.19 
   1985.679      342.69 
   1985.718      342.47 
   1985.756      342.52 
   1985.795      342.83 
   1985.833      343.36 
   1985.871      344.02 
   1985.910      344.69 
   1985.948      345.26 
   1985.986      345.71 
   1986.025      345.97 
   1986.063      346.15 
   1986.101      346.36 
   1986.140      346.74 
   1986.178      347.35 
   1986.216      348.11 
   1986.255      348.88 
   1986.293      349.48 
   1986.332      349.80 
   1986.370      349.79 
   1986.408      349.43 
   1986.447      348.75 
   1986.485      347.85 
   1986.523      346.90 
   1986.562      346.01 
   1986.600      345.24 
   1986.638      344.56 
   1986.677      343.97 
   1986.715      343.54 
   1986.753      343.43 
   1986.792      343.78 
   1986.830      344.53 
   1986.868      345.45 
   1986.907      346.23 
   1986.945      346.74 
   1986.984      347.05 
   1987.022      347.30 
   1987.060      347.62 
   1987.099      348.01 
   1987.137      348.46 
   1987.175      348.98 
   1987.214      349.61 
   1987.252      350.32 
   1987.290      351.00 
   1987.329      351.48 
   1987.367      351.66 
   1987.405      351.52 
   1987.444      351.07 
   1987.482      350.33 
   1987.521      349.38 
   1987.559      348.34 
   1987.597      347.40 
   1987.636      346.70 
   1987.674      346.31 
   1987.712      346.20 
   1987.751      346.35 
   1987.789      346.77 
   1987.827      347.42 
   1987.866      348.17 
   1987.904      348.83 
   1987.942      349.29 
   1987.981      349.65 
   1988.019      350.02 
   1988.058      350.52 
   1988.096      351.09 
   1988.134      351.63 
   1988.173      352.12 
   1988.211      352.63 
   1988.249      353.19 
   1988.288      353.72 
   1988.326      354.07 
   1988.364      354.14 
   1988.403      353.95 
   1988.441      353.55 
   1988.479      352.98 
   1988.518      352.21 
   1988.556      351.25 
   1988.595      350.19 
   1988.633      349.26 
   1988.671      348.68 
   1988.710      348.54 
   1988.748      348.75 
   1988.786      349.11 
   1988.825      349.51 
   1988.863      349.96 
   1988.901      350.55 
   1988.940      351.27 
   1988.978      352.07 
   1989.016      352.55 
   1989.055      352.77 
   1989.093      352.87 
   1989.132      353.07 
   1989.170      353.51 
   1989.208      354.22 
   1989.247      355.02 
   1989.285      355.66 
   1989.323      355.97 
   1989.362      355.92 
   1989.400      355.63 
   1989.438      355.19 
   1989.477      354.59 
   1989.515      353.74 
   1989.553      352.60 
   1989.592      351.30 
   1989.630      350.12 
   1989.668      349.36 
   1989.707      349.13 
   1989.745      349.37 
   1989.784      349.91 
